PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
8646,Fort Sill DES,Comanche,Fort Sill,OK,73503,1,,,,
7392,Bayfield County Communications Center,Bayfield,Washburn,WI,54891,,,1,,
7173,Northumberland County Sheriffs Office,Northumberland,Heathsville,VA,22473,,,1,,
6219,Carroll County 9-1-1,Carroll,Huntingdon,TN,38344,,,1,,
5484,Pickerington Police Department,Fairfield,Pickerington,OH,43147,,,1,,
4447,Stanly County E9-1-1 Communications Center,Stanly,Albemarle,NC,28001,1,,,,
4325,Lenoir Police Department,Caldwell,Lenoir,NC,28645,,,1,,
4231,Columbus Central Communications,Columbus,Whiteville,NC,28472,,,1,,
4226,Clay County Sheriffs Communications,Clay,Hayesville,NC,28904,,,1,,
4219,Cherokee County 911 Communications,Cherokee,Murphy,NC,28906,,,1,,
4205,Caldwell County Sheriffs Communications,Caldwell,Lenoir,NC,28645,,,1,,
4181,Ashe County Sheriffs Office,Ashe,Jefferson,NC,28640,,,1,,
4133,Glendive Police Department,Dawson,Glendive,MT,59330,,1,,,
3482,Midland County Central Dispatch,Midland,Midland,MI,48640,,,1,,
3423,Isabella County Central Dispatch,Isabella,Mt Pleasant,MI,48858,1,,,,
2852,Washington County Sheriff,Washington,Washington,KS,66968,,,1,,
2756,Jackson County Sheriffs Office,Jackson,Holton,KS,66436,,,1,,
1832,Polk County 9-1-1,Polk,CEDARTOWN,GA,30125,,,,1,
1825,Oglethorpe County 9-1-1,Oglethorpe,Crawford,GA,30630,,,1,,
1766,Ft Benning Military Police Department,Chattahoochee,Ft Benning,GA,31905,1,,,,
1725,Cherokee County E9-1-1,Cherokee,Canton,GA,30115,1,,,,
1704,Barrow County 9-1-1,Barrow,Winder,GA,30680,,,1,,
1702,Baldwin County Sheriff's Office,Baldwin,Milledgeville,GA,31061,,1,,,
1663,Stuart Police Department,Martin,Stuart,FL,34994,,,,,1
1581,Martin County Sheriffs Office,Martin,Stuart,FL,34994,,,,,1
1580,Martin County Fire And Rescue-eoc,Martin,Stuart,FL,34994,,,,,1
1251,Pueblo Police Department,Pueblo,Pueblo,CO,81003,,,1,,
